Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,389.048584,395.357452,383.333984,394.214539,376.458954,8646010
2015-10-01,399.540527,399.540527,392.523041,395.311737,377.506714,4331696
2015-10-05,394.443146,406.878052,394.008820,405.963715,387.678894,8007706
2015-10-06,409.461060,411.678314,404.935089,410.558258,392.066528,6165147
2015-10-07,409.026733,419.701569,407.335236,417.758606,398.942566,5757595
2015-10-08,418.261505,418.261505,405.163696,406.466614,388.159180,5376574
2015-10-09,408.729584,413.941284,402.992157,405.666565,387.395172,4663936
2015-10-12,405.963715,412.181183,405.963715,407.678101,389.316071,3106197
2015-10-13,404.615082,409.758209,403.632172,408.523865,390.123779,3081280
2015-10-14,409.529633,413.735565,408.683868,412.798370,394.205750,4001293
2015-10-15,414.969910,416.478546,411.495453,413.141235,394.533203,4524239
2015-10-16,413.506958,418.215790,413.141235,418.215790,399.379181,7623467
2015-10-19,430.193542,441.394104,430.193542,440.479797,420.640381,16752927
2015-10-20,441.165527,441.942719,435.679535,437.371063,417.671692,9045947
2015-10-21,436.822449,445.645752,435.679535,436.593872,416.929504,7202225
2015-10-23,440.685516,444.845734,430.262115,436.891022,417.213287,6076711
2015-10-26,439.748322,440.251190,430.330688,431.039307,411.625122,5469387
2015-10-27,429.187775,433.507996,428.547729,429.530640,410.184387,5800899
2015-10-28,428.319153,431.976501,425.118988,428.342010,409.049316,5979363
2015-10-29,427.907715,432.022217,427.427673,430.193542,410.817444,6640191
2015-10-30,430.696411,437.005310,429.782104,433.256561,413.742493,6683179
2015-11-02,433.850861,439.565460,432.113647,438.788269,419.025024,3611022
2015-11-03,440.365509,443.657104,439.451172,442.171295,422.255707,5686761
2015-11-04,442.537048,445.737213,432.570801,434.902344,415.314178,5016593
2015-11-05,433.850861,434.765198,426.536224,428.182007,408.896454,5383727
2015-11-06,429.484924,436.479584,428.776337,435.405243,415.794342,4183595
2015-11-09,426.764801,441.165527,422.170258,439.451172,419.658112,8515849
2015-11-10,437.508209,438.651123,418.901520,421.850250,402.849976,5743119
2015-11-13,418.330078,429.073486,418.078644,426.559082,407.346710,6841161
2015-11-16,423.336060,430.650696,422.764587,427.130524,407.892365,7673274
2015-11-17,428.844910,429.233490,423.427490,424.136078,405.032806,4294071
2015-11-18,424.067505,425.759033,415.998535,416.935730,398.156677,5624611
2015-11-19,420.090179,429.142059,419.335846,427.336243,408.088867,6091603
2015-11-20,426.993378,435.588104,423.130310,432.867950,413.371399,5652132
2015-11-23,434.308044,437.919647,432.570801,436.022400,416.383759,5249758
2015-11-24,435.679535,444.182831,434.788055,442.399872,422.473999,7403088
2015-11-26,443.908539,453.486176,442.651337,451.977509,431.620270,11902914
2015-11-27,452.137512,453.737610,445.325745,447.588715,427.429108,5445932
2015-11-30,447.337280,450.034576,439.931183,442.125580,422.212036,14959602
2015-12-01,440.708374,447.474426,439.451172,441.576996,421.688202,6490689
2015-12-02,441.737000,447.885895,440.936951,447.085846,426.948914,3786814
2015-12-03,445.691467,452.114655,445.325745,446.742950,426.621429,5680697
